MATRIX_NAME=OPGAVETYPE;;;;
MATRIX_DIMENSIONS=2;;;;
MATRIX_CELLTYPE=INTEGER;;;;
MATRIX_XTYPE=OPGAVETYPE;;;;
MATRIX_YTYPE=OpgavetypeID;;;;
MATRIX_ZTYPE=null;;;;
MATRIX_USE_DEFAULT=NO;;;;
MATRIX_DEFAULT=false;;;;
MATRIX_EMPTY_CELL_SIGN=-;;;;
IndsatsTypeEnum;IndsatsParameterNavnEnum (Udviklernes navn);SKAT opgavetypenavn;EFIVaerdiTypeKode;DefaultValue
;;MAN_BOEDEFORVANDLINGSSTRAF_GENSEND_KORREKTION_TIL_POLITIET;270;
;;MAN_BOEDEFORVANDLINGSSTRAF_GENSEND_MEDDELELSE;271;
;;MAN_BOEDEFORVANDLINGSSTRAF_RYK_POLITI_FOR_AFSONING;272;
;;MAN_BOEDEFORVANDLINGSSTRAF_VARSEL_OM_AFSONING;273;
;;MAN_BOEDEFORVANDLINGSSTRAF_VURDER_KORREKTIONER;274;
BETALINGSEVNEBEREGNING;;BEBB_TILGANG_OG_AFGANG_AF_BILER;251;
;;BEBB_GODKEND_BUDGET;252;
;;BEBB_DOEDSFALD_PAA_KUNDENS_ADRESSE;253;
;;BEBB_KOEB_OG_SALG_AF_EJENDOM;254;
;;BEBB_TIL_OG_FRAFLYTNING_ PAA_KUNDENS_ADRESSE;255;
ERKEND_FORDRING;;ERKEND_FORDRING_MEDDELELSE_ERKENDELSESBREV;256;
;;ERKEND_FORDRING_MEDDELELSE_IKKE_AFSENDT;257;
;;ERKEND_FORDRING_OPFOELGNING_ERKENDELSESBREV_IKKE_MODTAGET;258;
MODTAG_FORDRING;;MODTAG_FORDRING_GODKEND_AFSKRIVNING;263;
;;MODTAG_FORDRING_GODKEND_TRANSPORT;264;
;;MODTAG_FORDRING_INDENTIFICER_ALTERNATIV_KONTAKT;265;
;;MODTAG_FORDRING_AFSKRIVNING_AFVIST;266;
EFI_ESDH_OG_A&D_INTEGRATION;;EFI_ESDH_OG_A&D_INTEGRATION_MODTAG_POST_UDEN_STREGKODE;275;
STOP_FOR_AUTOMATISK_SPORSKIFTE;;STOP_FOR_AUTOMATISK_SPORSKIFTE_OPFOELGNING;276;
